Issue Type,Summary,Description,Epic Link,Epic Name,Acceptance Criteria,Sprint Suggestion
Story,Ingest and profile ALEX and Alfabet,"Load ALEX extract (Control_ID → Application_ID → CDE/Critical Rating → Data Usage linkages) and Alfabet application register (Application_ID → Application_Name → Criticality). Profile ALEX: Control_ID coverage vs JUNO (what % of JUNO CTRL_IDs appear in ALEX), Application_ID join rate to Alfabet, CDE/CRDE/Critical Rating distributions, Data Usage field parsing success rate (can we extract process IDs from patterns like 04.03.07). Build payment-relevant application list via Holocentric application references. If ALEX data is unavailable or incomplete, document the gap, assess impact on step 5b (ALEX system-enforced controls stream), and create deferred-stream flag file.",Foundations,,"1. ALEX extract loaded into 03_data/staging/alex_staging.sas7bdat from 03_data/raw/alex_extract_YYYYMMDD.csv; Alfabet loaded into 03_data/staging/alfabet_staging.sas7bdat from 03_data/raw/alfabet_applications_YYYYMMDD.csv
2. ALEX profile report: total row count, distinct Control_ID count, Control_ID coverage vs JUNO (% of JUNO CTRL_IDs present in ALEX; expect 40–80%), distinct Application_ID count, Application_ID join rate to Alfabet (% resolvable; should be >90%), CDE/CRDE/Critical Rating distributions (count per rating level), Data Usage field parsing: extract process IDs via regex (pattern: NN.NN.NN where N=digit), measure parsing success rate (% of rows with extractable process ID; expect 20–50%)
3. Payment-relevant application list extracted: applications referenced by Holocentric payment processes (from step 2 once available) or by ALEX controls linked to 7.4.x JUNO controls; output distinct Application_ID + Application_Name list to 03_data/intermediate/payment_relevant_apps.csv
4. ALEX data availability assessed: if ALEX unavailable or Control_ID coverage <20%, create deferred-stream-5b flag (03_data/staging/step5b_deferred.flag) and document impact in 00_documentation/data_quality_findings.md (step 5b ALEX system-enforced controls stream cannot run; bespoke discovery limited to streams A and C only; impact = ~15–25% of potential bespoke controls not discovered)",Sprint 1
Story,Produce consolidated schema dictionary and data discovery report,"Combine per-source profiling outputs from PRS-2 through PRS-5 into a single schema dictionary covering all data sources used in the PoC. Schema dictionary is field-level: source name, table/file name, field name, data type, null rate, example values, join keys, downstream usage (which steps consume this field). Produce one-page data discovery summary highlighting: data quality surprises (unexpectedly high null rates, orphan keys, schema mismatches), data gaps (missing sources like ALEX, incomplete linkages), and downstream go/no-go calls (which steps can proceed, which must be deferred, which need workarounds). Lead engineer sign-off required before Sprint 2 begins.",Foundations,,"1. Consolidated schema dictionary created: 00_documentation/schema_dictionary.xlsx with sheets per source (JUNO, Holocentric, ALEX, Alfabet, Linkages, Obligations, Incidents, Issues); each sheet has columns: Field_Name, Data_Type, Null_Rate_Percent, Example_Values, Join_Key_Flag, Downstream_Usage_Notes
2. Data discovery summary produced: 00_documentation/data_quality_findings.md (max 2 pages) with sections: Data Quality Surprises (list any null rate >20%, orphan key rate >5%, schema mismatches between expected and actual), Data Gaps (missing sources, incomplete linkages, low coverage joins), Downstream Impact (per step 1–12: Green = can proceed, Amber = workaround needed, Red = deferred; include mitigation for Amber/Red)
3. Go/no-go decision documented per downstream step: all MVP steps (1,2,4,6,8,10,11,12) assessed; any blockers escalated to sponsor
4. Lead engineer sign-off obtained and recorded in data_quality_findings.md with name, date, approval decision before Sprint 2 work begins",Sprint 1
Story,Design and version-control the prompt library for LLM steps,"Draft initial prompts for the six LLM-driven steps (2 PP6, 3 Payment Nature processes, 5a/b/c bespoke discovery, 7b/c Payment Nature controls, 8 CT mapping, 9 lifecycle placement). Each prompt includes: system context (taxonomies, definitions, examples), per-item input shape (which text fields are passed), expected JSON output schema with field-level constraints (enums, required fields, rationale grounding), confidence rubric (High/Medium/Low criteria), and requires-SME flag logic. Prompts stored in 01_prompts/ with .txt extension. Implement versioning mechanism: SHA-256 hash per prompt file recorded in 01_prompts/prompt_versions.json; any prompt change triggers hash update and re-validation flag in audit trail. This is foundational for audit defensibility: every LLM decision is bound to exact prompt version that produced it.",Foundations,,"1. Initial prompts drafted for all LLM-driven steps and saved to 01_prompts/ with filenames: step02_process_inclusion_pp6.txt, step03_payment_nature_processes.txt, step05a_process_step_controls.txt, step05b_alex_system_controls.txt, step05c_remediation_controls.txt, step07b_payment_nature_controls.txt, step07c_payment_nature_sanity.txt, step08_master_control_mapping.txt, step09_lifecycle_placement.txt
2. Each prompt has defined JSON output schema documented in prompt file header with schema version, required fields (marked REQUIRED), enum constraints (list valid values), rationale grounding requirement (every classification must cite source text phrase), confidence rubric (define High: deterministic signal + clear match, Medium: single signal or partial match, Low: ambiguous or keyword-only)
3. Prompt versioning mechanism implemented: 01_prompts/prompt_versions.json contains {""filename"": ""sha256_hash"", ""last_updated"": ""ISO8601"", ""validation_status"": ""Pass/Fail/Pending""} per prompt; script 02_code/python/llm_orchestration/audit_logger.py includes compute_prompt_hash() function that auto-updates this file on prompt save
4. CI/CD rule documented: any prompt hash change triggers re-validation flag (validation_status reset to Pending); production runs blocked until validation re-passes; documented in 00_documentation/prompt_versioning_rules.md",Sprint 2
Story,Build the audit trail capture framework,"Implement the audit trail records table per runbook specification. Every LLM call writes: prompt_version_hash (from prompt_versions.json), model_id (e.g., 'claude-sonnet-4-20250514'), run_timestamp (ISO8601), input_snapshot_hash (SHA-256 of concatenated input text fields to detect if source data changed between runs), raw_response (model output before parsing), parsed_result (structured JSON after schema validation), pass_number (for steps 2 & 4 convergence loop only, null for other steps), sme_override (if SME revises LLM decision, record override with SME name + timestamp + rationale; original LLM result preserved). Framework is reusable across all LLM steps. Demonstrate re-run capability: given audit record, reproduce exact same call with same inputs and compare outputs (deterministic if prompt and input unchanged; model version drift acceptable as long as documented).",Foundations,,"1. Audit trail table schema defined in 05_audit_trail/ with SAS dataset template: fields = prompt_version_hash (CHAR 64), model_id (CHAR 100), run_timestamp (DATETIME), input_snapshot_hash (CHAR 64), raw_response (TEXT), parsed_result (TEXT JSON), pass_number (INT nullable), sme_override (TEXT nullable), confidence (CHAR 10), requires_sme_flag (BOOL)
2. Audit logger implemented in 02_code/python/llm_orchestration/audit_logger.py with functions: log_llm_call(step_name, item_id, prompt_hash, model_id, input_dict, raw_response, parsed_json, pass_num=None), compute_input_hash(input_dict), load_prompt_hash(prompt_filename); test with single call to step 3 Payment Nature prompt on sample process
3. Re-run demonstration: select one audit record from test call, extract prompt_hash + input_snapshot_hash, re-issue LLM call with same prompt version and input, compare raw_response (may differ due to model non-determinism) and parsed_result (should be semantically equivalent; flag if classification changed); document re-run test result in 00_documentation/audit_trail_rerun_test.md
4. Framework integration: all LLM scripts (step02_pp6_embedding.py, step03_payment_nature_classify.py, etc.) include audit_logger.log_llm_call() after every model invocation before proceeding to next item",Sprint 2
Story,Implement step 2 deterministic inclusion paths (PP1 PP2 PP3 PP5),"Build the four deterministic Holocentric inclusion paths in parallel. PP1 hierarchy: process sits under known payments L2/L3 family (hardcoded list: 'Payments Processing', 'Fraud Management', 'Customer Payments', etc.; SQL WHERE clause on l2_process_name or l3_activity_name). PP2 value stream: process belongs to payments-relevant value stream (hardcoded list: 'Request to Payment', 'Fraud Detect to Correct', 'Payment Exceptions to Resolution'; SQL WHERE on value_stream_name). PP3 application linkage: process references payment-relevant application via Holocentric.applications → Alfabet (join to payment_relevant_apps.csv from PRS-5). PP5 keyword: process name or step description contains controlled payment terms (SAS regex: 'payment|payor|payee|remittance|settlement|clearing|BPAY|NPP|BECS|RTGS|direct.?debit|direct.?credit' case-insensitive; apply to process_name + concatenated step_descriptions). Output first-pass payment process register with all paths fired recorded, primary path (by confidence hierarchy PP1 > PP2 > PP4 > PP3 > PP5 > PP6), and confidence rollup (High if ≥2 paths including ≥1 of PP1/PP2/PP4, Medium if exactly one PP1/PP2/PP4 or PP3 alone, Low if only PP5 or PP6). Audit log every Holocentric process with paths evaluated and decision.",Build the populations,,"1. Four deterministic paths execute against full Holocentric universe (run 02_code/sas/step02_process_inclusion.sas deterministic section): PP1 SQL filter on l2_process_name IN ('Payments Processing', 'Fraud Management', 'Customer Payments', 'Transaction Monitoring', 'Payment Operations', 'Clearing and Settlement') OR l3_activity_name LIKE '%payment%' OR '%settlement%', PP2 SQL filter on value_stream_name IN ('Request to Payment', 'Fraud Detect to Correct', 'Payment Exceptions to Resolution', 'Customer Onboarding to Offboarding'), PP3 join Holocentric.applications to payment_relevant_apps.csv (from PRS-5) via Application_ID, PP5 regex on process_name and step_descriptions (concatenate all step_description per process with '|' delimiter; apply regex; flag if match found)
2. Output dataset created: 03_data/intermediate/step02_payment_process_register.sas7bdat with schema: process_id, process_name, l2_parent, value_stream, applications (array), pp1_fired (BOOL), pp2_fired (BOOL), pp3_fired (BOOL), pp4_fired (BOOL initially NULL; populated in step 6), pp5_fired (BOOL), pp6_fired (BOOL initially NULL), primary_path (CHAR 10 = PP1/PP2/PP3/PP4/PP5/PP6 based on hierarchy), confidence_rollup (CHAR 10 = High/Medium/Low per runbook formula)
3. Audit log created: 05_audit_trail/audit_trail_step02_deterministic.csv with every Holocentric process (even excluded ones): process_id, pp1_result, pp2_result, pp3_result, pp5_result, inclusion_decision (Included/Excluded), confidence, primary_path, reason_if_excluded
4. Row count reconciliation: total Holocentric L3 activities from PRS-3 profiling = sum of (included processes in register + excluded processes in audit log); verify 100% coverage",Sprint 2
Story,Embedding infrastructure and step 2 PP6,"Build embedding service to compute vector representations for all Holocentric process descriptions (concatenate process_name + process_description + value_stream for embedding input). Use text embedding model (e.g., text-embedding-3-large, text-embedding-ada-002, or open-source alternative via Hugging Face). Batch-process all Holocentric processes and save embeddings to 04_embeddings/holocentric_process_embeddings.npy (numpy array) with index mapping row → process_id in 04_embeddings/embedding_index_holocentric.csv. PP6 calibration: identify high-confidence core (processes with PP1, PP2, or PP3 fired; confidence=High from PRS-9), compute centroid embedding of core, compute cosine similarity of all other processes to centroid, calibrate threshold via golden set from PRS-41 (SME-labelled ~30 processes; measure false-negative rate at various thresholds; select threshold achieving FNR ≤0.10). Candidate processes above threshold queued to SME review (NOT auto-included; Low confidence per runbook). This story depends on PRS-41 golden set construction.",Build the populations,,"1. Embedding service implemented: 02_code/python/llm_orchestration/embedding_service.py with function compute_embeddings(text_list, model_name) returning numpy array; batch size 100–500 items per API call to manage rate limits; test on sample of 10 processes before scaling to full universe
2. Holocentric embeddings generated: run 02_code/python/step02_pp6_embedding.py which reads 03_data/staging/holocentric_staging.sas7bdat, concatenates process_name + ' | ' + process_description + ' | ' + value_stream per row, calls embedding service, saves output to 04_embeddings/holocentric_process_embeddings.npy (shape: [N processes, embedding_dim]) and 04_embeddings/embedding_index_holocentric.csv (columns: row_index, process_id)
3. PP6 calibration complete: identify high-conf core (processes with pp1_fired=TRUE OR pp2_fired=TRUE OR pp3_fired=TRUE from step02_payment_process_register.sas7bdat; expect 300–800 processes), compute centroid embedding (mean vector of core embeddings), compute cosine similarity of all non-core processes to centroid, calibrate threshold using golden set from PRS-41 (plot FNR vs threshold; select threshold where FNR ≤0.10; document threshold value in 03_data/validation/pp6_threshold_calibration.csv with columns: threshold, precision, recall, FNR)
4. Candidate processes queued: processes with similarity ≥ threshold AND not already included via PP1/PP2/PP3 written to 06_sme_review/sme_queue_step02_pp6.xlsx with columns: process_id, process_name, similarity_score, fired_paths (should be empty or only PP5), rank (descending by similarity); SMEs review queue and approve/reject; approved processes updated in step02_payment_process_register with pp6_fired=TRUE, confidence=Low",Sprint 3
Story,Implement step 4 deterministic inclusion paths (P1 P3 P4 P5),"Build the four deterministic JUNO control inclusion paths via Teradata SQL pass-through. P1 taxonomy tag: control's risk_library_id IN ('7.4.1', '7.4.2', ..., '7.4.x' all Payments risk library tags; get exhaustive list from JUNO taxonomy table). P3 obligation linkage: control linked to payments obligation (join linkage_ctrl_oblig to obligations where obligation source IN ('NPP', 'BECS', 'RBA', 'ePayments Code', 'AUSTRAC', 'Payment Services Act') via Teradata SQL). P4 incident/issue linkage: control linked to payments-classified incident or issue (join linkage_ctrl_incident and linkage_ctrl_issue to incidents/issues where incident/issue is linked to 7.4.x controls or payment processes; iterative definition resolved in step 6). P5 keyword: control name or description contains controlled payment terms (same regex as PP5: 'payment|payor|payee|remittance|settlement|clearing|BPAY|NPP|BECS|RTGS|direct.?debit|direct.?credit' applied to ctrl_name + ctrl_description concatenated). Output first-pass JUNO payment control population with paths fired, primary path, confidence rollup. Also produce taxonomy hygiene finding: proportion of payment controls included via paths other than P1 (if >40% are non-P1, indicates taxonomy misclassification or incomplete tagging; reportable to sponsor as data quality issue).",Build the populations,,"1. Four deterministic paths execute against full JUNO universe via Teradata pass-through (run 02_code/sql/teradata_passthrough/step04_p1_taxonomy.sql, step04_p3_obligation.sql, step04_p4_incident_issue.sql, step04_p5_keyword.sql; materialise results to SAS via 02_code/sas/step04_control_inclusion.sas): P1 WHERE risk_library_id LIKE '7.4.%', P3 join linkage_ctrl_oblig → obligations WHERE obligation_source IN (...), P4 join linkage_ctrl_incident → incidents WHERE incident linked to 7.4.x control OR payment process (defer full logic to step 6 Pass 2+; Pass 1 uses 7.4.x only), P5 WHERE ctrl_name || ' ' || ctrl_description ~* 'payment|payor|...' (Teradata regex syntax)
2. Output dataset created: 03_data/intermediate/step04_juno_payment_controls.sas7bdat with schema: ctrl_id, ctrl_name, ctrl_description, owner_business_unit, control_type, automation_level, effectiveness_rating, p1_fired, p2_fired (initially NULL), p3_fired, p4_fired, p5_fired, p6_fired (initially NULL), primary_path, confidence_rollup
3. Taxonomy hygiene finding produced: count controls by primary_path; compute % with primary_path != 'P1'; if >40%, flag as taxonomy hygiene issue; output to 00_documentation/taxonomy_hygiene_finding.md with breakdown: total payment controls, count per path, % per path, recommendation (if P1 <60%, recommend taxonomy review and re-tagging initiative post-PoC)
4. Audit log created: 05_audit_trail/audit_trail_step04_deterministic.csv with every JUNO CTRL_ID: ctrl_id, p1_result, p3_result, p4_result, p5_result, inclusion_decision, confidence, primary_path, reason_if_excluded",Sprint 2
Story,Embedding infrastructure and step 4 P6,"Compute embeddings for all JUNO control descriptions (concatenate ctrl_name + ctrl_description for embedding input). Save to 04_embeddings/juno_control_embeddings.npy with index 04_embeddings/embedding_index_juno.csv. P6 similarity: identify high-confidence core (controls with P1, P2, or P3 fired; confidence=High), compute centroid, compute cosine similarity of all other controls to centroid, calibrate threshold via golden set from PRS-44 (SME-labelled ~50 controls; measure precision/recall at thresholds; select threshold achieving precision ≥0.75, recall ≥0.70). Enrichment signals (used ONLY for SME queue prioritisation, NOT for inclusion): owner clustering (if business unit has ≥80% of its controls already included via P1–P3, flag remaining controls from that BU as higher priority for SME review), process-adjacency (controls owned by same BU or operating on same system/application as already-linked controls but not themselves linked; flag as higher priority). Enrichment signals scored 0–100; SME queue ordered by score descending. Candidate controls above P6 similarity threshold written to SME queue for review (NOT auto-included).",Build the populations,,"1. JUNO embeddings generated: run 02_code/python/step04_p6_embedding.py which reads 03_data/staging/juno_staging.sas7bdat, concatenates ctrl_name + ' | ' + ctrl_description per row, calls embedding_service.compute_embeddings(), saves to 04_embeddings/juno_control_embeddings.npy and 04_embeddings/embedding_index_juno.csv
2. P6 similarity computed: identify high-conf core (controls with p1_fired=TRUE OR p2_fired=TRUE OR p3_fired=TRUE; expect 800–2000 controls), compute centroid embedding, compute cosine similarity of all non-core controls to centroid, calibrate threshold using golden set from PRS-44 (plot precision/recall vs threshold; select threshold where precision ≥0.75 AND recall ≥0.70; document in 03_data/validation/p6_threshold_calibration.csv)
3. Enrichment signals scored: (a) Owner clustering: for each business_unit, compute inclusion_rate = count(controls with P1/P2/P3 fired) / count(total controls in BU); if inclusion_rate ≥0.80, assign enrichment_score += 40 to all non-included controls in that BU. (b) Process-adjacency: for each non-included control, check if owner_business_unit OR linked_application matches any already-included control; if match, enrichment_score += 30. Final score = similarity_score*100 + enrichment_score (range 0–170)
4. SME queue created: controls with similarity ≥ threshold AND not already included written to 06_sme_review/sme_queue_step04_p6.xlsx with columns: ctrl_id, ctrl_name, similarity_score, enrichment_score, total_score, owner_business_unit, fired_paths, rank (descending by total_score); SMEs review and approve/reject; approved controls updated in step04_juno_payment_controls with p6_fired=TRUE, confidence=Low",Sprint 3
Story,Fuzzy matching infrastructure,"Build fuzzy matcher for step 5 bespoke control discovery. Fuzzy matcher compares candidate bespoke control text (from Holocentric steps, ALEX configs, or remediation text) against JUNO control descriptions to detect if the control is already registered under different wording. Use token-based similarity: Levenshtein distance, Jaccard similarity on word n-grams (n=2,3), or TF-IDF cosine similarity. Calibrate threshold on known-duplicate sample: select 20 JUNO controls, manually rewrite descriptions with paraphrasing, run fuzzy matcher, measure recall (should be 100% on exact semantic duplicates) and precision (false positive rate <5% on non-duplicates). Threshold set to ≥0.80 similarity = likely same control (flag as already registered). Lower similarity 0.60–0.79 = possible duplicate (queue to SME for adjudication). Below 0.60 = distinct control (candidate bespoke). Fuzzy matcher used in PRS-14, PRS-15, PRS-16.",Build the populations,,"1. Fuzzy matcher implemented in 02_code/python/llm_orchestration/fuzzy_matching.py with function fuzzy_match(candidate_text, juno_controls_df, threshold=0.80) returning (best_match_ctrl_id, similarity_score, match_decision = 'Already_Registered' / 'Possible_Duplicate' / 'Distinct'); use Jaccard similarity on word bigrams + trigrams (average the two scores) or rapidfuzz library for Levenshtein ratio
2. Threshold calibrated on known-duplicate sample: manually create test set of 20 JUNO controls with paraphrased descriptions (e.g., ""Daily reconciliation of payment files"" → ""Reconcile payment transactions on a daily basis""), run fuzzy_match() with thresholds 0.70, 0.75, 0.80, 0.85, measure recall (% of paraphrases correctly matched to original; target 100% at threshold 0.80), measure precision on non-duplicate set (20 controls from different CTs/processes; false positive rate <5% at threshold 0.80)
3. Threshold documented: selected threshold (recommend 0.80) saved to 02_code/python/llm_orchestration/config.py as FUZZY_MATCH_THRESHOLD; calibration results saved to 00_documentation/fuzzy_match_calibration.csv with columns: threshold, recall, precision, false_positive_rate, false_negative_rate
4. Integration tested: run fuzzy_match() on 10 known bespoke controls (from prior risk assessments or SME nominations) against JUNO; verify Already_Registered decisions are correct (controls that should be in JUNO are flagged), verify Distinct decisions are correct (genuinely new controls are not falsely matched)",Sprint 2
Story,Implement step 5a: Holocentric process-step controls,"For every process in the payment process register (from step 2 final output after convergence in step 6; run this story in Sprint 4 after step 6 completes), run LLM classification on each process step description to determine if the step performs a control function. LLM input: step_name, step_description, process_context (parent process name + value stream). LLM output: is_control (Boolean), control_type (enum: check/approval/validation/reconciliation/segregation/threshold/dual_control/monitoring/null), confidence (High/Medium/Low), rationale (cite step_description phrase justifying classification). Control_type categories defined in prompt: check=verification of data accuracy, approval=authorisation required before action, validat=ensure data meets business rules, reconciliation=match two data sources, segregation=role separation enforced, threshold=limit enforcement, dual_control=two-person rule, monitoring=ongoing surveillance. Positive classifications (is_control=TRUE) fuzzy-matched against JUNO controls linked to the same process (via linkage_ctrl_proc join). Match decision: Already_Registered (similarity ≥0.80) means control exists in JUNO (no action), Possible_Duplicate (0.60–0.79) queued to SME, Distinct (< 0.60) written to bespoke control register as candidate unregistered control. Audit trail captured per step classification.",Build the populations,,"1. LLM classification runs on all steps in payment process register: load 03_data/intermediate/step02_payment_process_register.sas7bdat (post-convergence from step 6), join to Holocentric step-level detail, for each step call LLM with prompt 01_prompts/step05a_process_step_controls.txt, input = {step_name, step_description, process_name, value_stream}, parse JSON response schema {is_control, control_type, confidence, rationale}; run via 02_code/python/step05a_holocentric_controls.py
2. Fuzzy-matching against JUNO: for each step where is_control=TRUE, extract linked JUNO controls (join process_id to linkage_ctrl_proc to get ctrl_id list), run fuzzy_match(step_description, juno_controls_df filtered to linked controls, threshold=0.80), record match_decision
3. Candidate bespoke controls written to register: steps with is_control=TRUE AND match_decision='Distinct' written to 03_data/intermediate/step05_bespoke_controls.sas7bdat with schema: bespoke_id (generated UUID), source_type='Holocentric-step', source_id=step_id, process_id, control_description=step_description, control_type, confidence, rationale, fuzzy_match_best_score, sme_confirmed (initially NULL)
4. Audit trail captured: 05_audit_trail/audit_trail_step05a_holocentric.csv with every step: step_id, is_control, control_type, confidence, rationale, fuzzy_match_decision, prompt_version_hash, model_id, run_timestamp; SME queue: steps with match_decision='Possible_Duplicate' written to 06_sme_review/sme_queue_step05a_possible_duplicates.xlsx for adjudication",Sprint 4
